bg,humus_kat,pH_lo,pH_hi,CaO
2,4.1-8.0,5.4,5.9,9
2,8.1-15.0,5.0,5.5,8
2,15.1-30.0,4.6,5.1,4
3,<4,,4.5,87
3,<4,4.6,4.6,82
3,<4,4.7,4.7,77
3,<4,4.8,4.8,73
3,<4,4.9,4.9,68
3,<4,5.0,5.0,63
3,4.1-8.0,,4.2,89
3,4.1-8.0,4.3,4.3,83
3,4.1-8.0,4.4,4.4,77
3,4.1-8.0,4.5,4.5,71
3,4.1-8.0,4.6,4.6,66
3,4.1-8.0,4.7,4.7,60
3,8.1-15.0,,3.8,90
3,8.1-15.0,3.9,3.9,84
3,8.1-15.0,4.0,4.0,78
3,8.1-15.0,4.1,4.1,72
3,8.1-15.0,4.2,4.2,66
3,8.1-15.0,4.3,4.3,60
3,15.1-30.0,,3.3,33
3,15.1-30.0,3.4,3.4,31
3,15.1-30.0,3.5,3.5,29
3,15.1-30.0,3.6,3.6,27
3,15.1-30.0,3.7,3.7,25
3,15.1-30.0,3.8,3.8,23
3,<4,5.1,5.1,58
3,<4,5.2,5.2,53
3,<4,5.3,5.3,49
3,<4,5.4,5.4,44
3,<4,5.5,5.5,39
3,<4,5.6,5.6,34
3,<4,5.7,5.7,29
3,<4,5.8,5.8,25
3,<4,5.9,5.9,20
3,<4,6.0,6.0,15
3,4.1-8.0,4.8,4.8,54
3,4.1-8.0,4.9,4.9,48
3,4.1-8.0,5.0,5.0,42
3,4.1-8.0,5.1,5.1,36
3,4.1-8.0,5.2,5.2,31
3,4.1-8.0,5.3,5.3,25
3,4.1-8.0,5.4,5.4,19
3,4.1-8.0,5.5,5.5,13
3,8.1-15.0,4.4,4.4,54
3,8.1-15.0,4.5,4.5,48
3,8.1-15.0,4.6,4.6,42
3,8.1-15.0,4.7,4.7,35
3,8.1-15.0,4.8,4.8,29
3,8.1-15.0,4.9,4.9,23
3,8.1-15.0,5.0,5.0,17
3,8.1-15.0,5.1,5.1,11
3,15.1-30.0,4.2,4.2,21
3,15.1-30.0,4.3,4.3,19
3,15.1-30.0,4.4,4.4,17
3,15.1-30.0,4.5,4.5,15
3,15.1-30.0,4.6,4.6,12
3,15.1-30.0,4.7,4.7,6
3,<4,6.1,6.7,14
3,4.1-8.0,5.6,6.2,12
3,8.1-15.0,5.2,5.8,10
3,15.1-30.0,4.8,5.4,5
4,<4,,4.5,117
4,<4,4.6,4.6,111
4,<4,4.7,4.7,105
4,<4,4.8,4.8,100
